pair_id,layer_idx,TE,IE,original_output,intervention_output,ie_output,original_text,intervention_text,ie_text,expected_original,expected_intervention,original_correct,intervention_correct,patch_positions,ie_positions,num_patch_positions,num_ie_positions,category,intervention_position,list_length,original_word,intervention_word
0,0,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,1,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,2,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,3,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,4,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,5,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,6,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,7,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,8,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,9,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,10,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,11,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,12,-1,-1,3,2,2,(3),(2),(2),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,13,-1,0,3,2,3,(3),(2),(3),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
0,14,-1,0,3,2,3,(3),(2),(3),3,2,True,True,[88],"[88, 89]",1,2,animal,4,7,leopard,heel
